Date,Text
2019-12-31,Blackstone Snaps Up Studio Lots for a Slice of Streaming Riches $AAPL $VIAC $AMZN $DIS $NFLX https://t.co/3TA5xVqSK2
2020-01-02,RT @TowelieTrades: RT stock_family: $PAVM my bags 💼 https://t.co/awfL5zX04P - https://t.co/YWb0YTEzG0 #options #stockmarket #daytrader #sto…
2020-01-03,"If anyone deserves to be a billionaire, it's Tim Cook, he had some huge boots to fill, Jobs can never be replaced,… https://t.co/RSXyL9ObqD"
2020-01-06,"$AAPL enters an Uptrend as Momentum Indicator exceeded the 0 level on July 31, 2020. View odds for this and other i… https://t.co/iN4bocDSDH"
2020-01-07,$AAPL Held a more expensive ITM call overnight hoping to catch some more run up. Bolder strategy than my usual bets… https://t.co/3d7jAXq3Kk
2020-01-08,"$KNDI $SQ $SPY $NFLX $M $DIS $IBIO $HPTY $NIO $NKLA $AAPL $MARK $MRNA $USO $MRO $GE $AMD $MSFT $TSLA 
Stay at home… https://t.co/hn9X98QgQA"
2020-01-09,$MRNA look to settle at 72.00. Down off recent Highs. Good loading spot. $RLFTF $IGEN $GAXY $CCTL $BRTXQ $IDEX… https://t.co/d3YE71T7w1
2020-01-10,$AAPL 2 Trillion party coming 🎉🎂🎊🍎🍎🍎🍏🍏🍏
2020-01-13,#FAAMNG in-depth Analysis and Trading Plan for today on $FB $AAPL $AMZN $MSFT $NFLX $GOOGL is now available to revi… https://t.co/LevIdpZKRa
2020-01-14,$M moved up 7.85% as investors load up. Going back to  $8 Grab Dips. $RLFTF $IGEN $GAXY $CCTL $BRTXQ $IDEX $XTRM… https://t.co/yQWg3VJhNE
2020-01-15,"No position. Over 50 ma.
( AAPL and BA dancers)."
2020-01-16,"$KNDI $SQ $SPY $NFLX $M $DIS $IBIO $HPTY $NIO $NKLA $AAPL $MARK $MRNA $USO $MRO $GE $AMD $MSFT $TSLA $FB
Hi, 
Money… https://t.co/diKz6z4D0s"
2020-01-17,"RT @OptionsMike: $AAPL Finally Went ATH's holding the 8D here.. 325 break out level hold would show strenght.... 

https://t.co/ZhLEYvo0NE"
2020-01-21,OptionAlarm has provided sound Option Swing Trades to thousands of investors just like YOU for over 14 years!Free 1… https://t.co/DbMTgWfOkN
2020-01-22,$RNWF hits 52 week High. up 34% . Load Dips as this moves higher. $RLFTF $IGEN $GAXY $CCTL $BRTXQ $IDEX $XTRM $RBII… https://t.co/EJOTWy3ZM3
2020-01-23,RT @zerohedge: Dear @federalreserve and @neelkashkari your ongoing purchases of AAPL bonds to fund the buybacks that just made Tim Cook a b…
2020-01-24,$GAXY $IGEN $RLFTF $HPTY $FXTP $CCTL  Load UP. Make Money !! $RLFTF $IGEN $GAXY $CCTL $BRTXQ $IDEX $XTRM $RBII… https://t.co/7kwrH1Km1I
2020-01-27,"One of the most important first steps for traders is to have a stock watchlist. 

Once you can master, or ""get a fe… https://t.co/3R08a6DCtj"
2020-01-28,RT @zerohedge: Dear @federalreserve and @neelkashkari your ongoing purchases of AAPL bonds to fund the buybacks that just made Tim Cook a b…
2020-01-29,"RT @segalink: Rumor has it that Apple (APPL) AAPL will release its cheapest ever top-tier phone this fall.
Influential tech magazine Tom’s…"
2020-01-30,"Thanks for the alert &amp; updates
https://t.co/kVpdIE7Rmn
Best analysis

$FB $LOVE $WORK $AAL $AMD $MNTA $GLD $TWR… https://t.co/Icxmb5h9im"
2020-01-31,"Russia first to register coronavirus vaccine worldwide, Putin claims, saying his daughter has had it… https://t.co/PZ01vFgKGI"
2020-02-03,"Here are Monday's biggest analyst calls of the day: Apple, FedEx, Nvidia, Facebook &amp; more $JBHT $AAPL https://t.co/Z3MpZ7ACMJ"
2020-02-04,"Remember this from 6 months ago?
$AAPL $AMZN $FB $GOOG $MSFT
https://t.co/AVh2KUCZkc"
2020-02-05,"$mrna $spx $spy #CNBCTV18Market $qqq $aapl $tsla $nflx #business $zm $uup $jpm $gs $eth $slv $wmt $nk 

Hello sir,… https://t.co/5cPSUXwl3Q"
2020-02-06,RT @zerohedge: Dear @federalreserve and @neelkashkari your ongoing purchases of AAPL bonds to fund the buybacks that just made Tim Cook a b…
2020-02-07,"Thanks for the alert &amp; updates
https://t.co/kVpdIE7Rmn
Best analysis

$FB $LOVE $WORK $AAL $AMD $MNTA $GLD $TWR… https://t.co/sxfwlwEH5z"
