Date,Text
2019-12-31,"$AMZN - Mercedes-Benz Joins The Climate Pledge and Delivers More Than 1,800 Electric Vehicles to Amazon’s https://t.co/e13gHovlV5"
2020-01-02,"RT @StockDweebs: Daily update on my weekly stock picks (pinned tweet): 

$AMZN - consolidating
$PTON - trying to breakout
$CRM - wow
$DG -…"
2020-01-03,"GO QUICK!!

NEW Ring Stick Up Cam PLUS Echo Dot for $84.99!  
(over 40% off!!)
 
https://t.co/5EgqNcbgbX

If it say… https://t.co/smBYIMOgCK"
2020-01-06,"RT @FatKidDeals: Back in stock!

10 packs of Wet ones Antibacterial Wipe Packs!!

https://t.co/eezX80p6CX https://t.co/A3joH55K07"
2020-01-07,"DOOM Eternal: Collector's Edition - PC back in stock!!

https://t.co/A6vJCPK52F https://t.co/mHVOsRjvU8"
2020-01-08,"Back in stock!!!

12ct of Hand Sanitizer!!!

https://t.co/1UKsUEkNu0

#BwcDeals #Deals #dailydeals… https://t.co/IoF6Zgh52g"
2020-01-09,"The Bowflex PR1000 and Bowflex Blaze are back in stock!!!

PR1000; https://t.co/UqkqqnfEnD

Blaze;… https://t.co/X6X4T2K0dC"
2020-01-10,Dow futures up 200 points in overnight trading after the index briefly erases 2020 losses https://t.co/gMSG2muNwR… https://t.co/DU8m9oVm0p
2020-01-13,Comes in and out of stock fairly regularly: Pacific Blue Select Multifold Premium 2-Ply #papertowels #essentials… https://t.co/zuHha3I2Fm
2020-01-14,"RT @FatKidDeals: GO QUICK!!

Wet ones Antibacterial hand Wipes IN STOCK!

https://t.co/GbeABEkgke https://t.co/FQgkXG9msE"
2020-01-15,"Finally, the book gives a list of 8 coffee can portfolios and how they have performed as compared to the index.

A… https://t.co/RBZ01XNES4"
2020-01-16,"8-Foot Jump N’ Dunk Trampoline for $204!!     
    
https://t.co/cHZCP4GjFu
   
If it says temporarily out of stock… https://t.co/poubuDjsBE"
2020-01-17,"RT @FatKidDeals: Back in stock!

10 packs of Wet ones Antibacterial Wipe Packs!!

https://t.co/eezX80p6CX https://t.co/A3joH55K07"
2020-01-21,RT @FreddyInSpace: The weirdest thing about Underwater is that you cannot buy the DVD or Blu-ray directly from Amazon and I'm pretty sure t…
2020-01-22,"Amazon #1 Selling Dress is Back In Stock!!!!

VintageClothing Women's Floral Maxi Dresses Boho Button Up Split, Bea… https://t.co/SOqzoKUBsK"
2020-01-23,"RT @FatKidDeals: Back in stock!

10 packs of Wet ones Antibacterial Wipe Packs!!

https://t.co/eezX80p6CX https://t.co/A3joH55K07"
2020-01-24,"RT @FatKidDeals: Back in stock!

10 packs of Wet ones Antibacterial Wipe Packs!!

https://t.co/eezX80p6CX https://t.co/A3joH55K07"
2020-01-27,"RT @FatKidDeals: Back in stock!

10 packs of Wet ones Antibacterial Wipe Packs!!

https://t.co/eezX80p6CX https://t.co/A3joH55K07"
