Date,Text
2019-12-31,28 Aug advisory calls #performance profit +34877/- https://t.co/dfqrPzf5xd #dalalstreetwinners #commodity #currency #future #option #stock
2020-01-02,27 Aug advisory calls #performance profit +54434/- https://t.co/qF4t20JBB1 #dalalstreetwinners #commodity #currency #future #option #stock
2020-01-03,26 Aug advisory calls #performance profit -23817/- https://t.co/0QoInuB96E #dalalstreetwinners #commodity #currency #future #option #stock
2020-01-06,"RT @Bdsm1Ov: $ADMA 
Trump Plasma stock is a strong buy
💪💪💪💪
$nak $vxrt $fb $boxl  $cydy $adma $spy $shll $nkla $aapl $aal $rkt $ttoo $xspa…"
2020-01-07,"RT @benedictevans: Joking apart, there is a something interesting in how, well, odd the bidders are. Tiktok is probably too big for PE and…"
2020-01-08,"We stock a wide range of Oil Filter in Genuine, Major &amp; Budget brands.

Call us on 0722633128/0734833635 or message… https://t.co/D5WUVJjitU"
2020-01-09,"RT @DonKatoGh: All Items Are Available In Stock.

Call/WhatsApp (0) +233 027 140 9523 To Place An Order.

Or Dm Us @SlipWear. We FB. https:…"
2020-01-10,$FB - Publishers See Risks In Apple's Upgrade -- WSJ https://t.co/rXfYlFw7Ym
2020-01-13,Dow futures up 200 points in overnight trading after the index briefly erases 2020 losses https://t.co/gMSG2muNwR… https://t.co/DU8m9oVm0p
2020-01-14,"An Unprecedented 1,640 CEOs Departed in 2019; Now Execs Are Dumping Stock at Highest Pace… https://t.co/wDgMuKmozU"
2020-01-15,"Just 1 FB ad strategy changed the game
for our client as we applied it.
Orders were coming for each geo and we were… https://t.co/vqsKhtI8tb"
2020-01-16,@GabbbarSingh Stock markets are behaving as if nothing as happened especially the US market for the top tech stocks… https://t.co/lbSVYMBOiZ
2020-01-17,"You may also look at #FB 280 Put for Sept 4th, stock may visit 270 265 260 zone. 

#DowJones #Nasdaq #WeAreDayTraders"
2020-01-21,Dow Jones Futures: Stock Market Rally Ride - Investor's Business Daily https://t.co/c6i8qbET05
2020-01-22,"Bank Nifty Future 2,000 Points Up, Boom Boom High 24,199 – Neal Bhai https://t.co/GfgKOy6Mxt"
2020-01-23,"RT @assetdash: Top 10 Stocks By Market Cap 🏆

1. $AAPL ($2.1T)
2. $AMZN ($1.7T)
3. $MSFT ($1.6T)
4. $GOOGL ($1.1T)
5. $FB ($844B)
6. $BABA…"
2020-01-24,Stock market will top out today. Get your puts ready boys $SPY $QQQ $VIX $AAPL $TSLA $CRM $FB $MSFT
2020-01-27,buddy BOUGHT 10K OF FB stock at $20 and sold early 😭
2020-01-28,"RT @IBD_ECarson: Whipsaw market sends this message; Dow futures rise, 5 key earnings movers https://t.co/cgavDSkyaC $WDAY $OLLI $VEEV $BILL…"
2020-01-29,"$ADMA 
Trump Plasma stock is a strong buy
💪💪💪💪
$nak $vxrt $fb $boxl  $cydy $adma $spy $shll $nkla $aapl $aal $rkt… https://t.co/411S7m17nm"
2020-01-30,Select your Social Media stock &amp; start following portfolio's $LNKD $FB $ZNGA https://t.co/7gg0FoRUNF https://t.co/KQopnE20Jl
2020-01-31,"RT @IBD_ECarson: Whipsaw market sends this message; Dow futures rise, 5 key earnings movers https://t.co/cgavDSkyaC $WDAY $OLLI $VEEV $BILL…"
2020-02-03,RT @wealthissimple: Dow Jones Futures Rise. https://t.co/nMbISUVJHG $tsla $aapl $googl $fb $msft $goog $pypl $amd $shop $v $ma $t $cprt $nf…
2020-02-04,Dow Jones Futures Rise. https://t.co/nMbISUVJHG $tsla $aapl $googl $fb $msft $goog $pypl $amd $shop $v $ma $t $cprt… https://t.co/pUasgCfxnB
2020-02-05,"RT @chigrl: $AAPL stock split tomorrow...will be interesting...probably see an announcement that FB, GOOG, and AMZN are bidding TICTOK with…"
2020-02-06,"RT @assetdash: Top 10 Stocks By Market Cap 🏆

1. $AAPL ($2.1T)
2. $AMZN ($1.7T)
3. $MSFT ($1.6T)
4. $GOOGL ($1.1T)
5. $FB ($844B)
6. $BABA…"
2020-02-07,"$FB  Aug 27    
- Daily stock market timing forecast -    
◆ Investing view    
=&gt; Neutral - Bullish    
◆ Search f… https://t.co/wtMdVVsRtp"
2020-02-10,"A Beginner’s Guide to Stock Investing. 

On Amazon. 

Link: https://t.co/Nm3L7G4Zzw 

$FB $GOOGL $JPM $BAC $WFC… https://t.co/UR6aHxn0QK"
2020-02-11,"RT @MinteractApp: Thursday's Top Flow in #StockMarket, Buy Flow and Sell Flow $XLU $TSLA $JNJ $MCD $UNH $HYG $GDX $XLF $PEP $JNK $AAPL $MSF…"
2020-02-12,"RT @chigrl: $AAPL stock split tomorrow...will be interesting...probably see an announcement that FB, GOOG, and AMZN are bidding TICTOK with…"
2020-02-13,"RT @MinteractApp: Thursday's Top Flow in #StockMarket, Buy Flow and Sell Flow $XLU $TSLA $JNJ $MCD $UNH $HYG $GDX $XLF $PEP $JNK $AAPL $MSF…"
2020-02-14,"RT @MinteractApp: Thursday's Top Flow in #technology sector, Buy Flow &amp; Sell Flow $INTU $V $AMAT $WDC $MU $PAYX $ORCL $LSI $CTL $MTAP $AAPL…"
2020-02-18,"RT @MinteractApp: Thursday's Top Flow in #technology sector, Buy Flow &amp; Sell Flow $INTU $V $AMAT $WDC $MU $PAYX $ORCL $LSI $CTL $MTAP $AAPL…"
2020-02-19,"RT @MinteractApp: Thursday's Top Flow in #StockMarket, Buy Flow and Sell Flow $XLU $TSLA $JNJ $MCD $UNH $HYG $GDX $XLF $PEP $JNK $AAPL $MSF…"
2020-02-20,"RT @IBD_ECarson: Whipsaw market sends this message; Dow futures rise, 5 key earnings movers https://t.co/cgavDSkyaC $WDAY $OLLI $VEEV $BILL…"
2020-02-21,"RT @chigrl: $AAPL stock split tomorrow...will be interesting...probably see an announcement that FB, GOOG, and AMZN are bidding TICTOK with…"
2020-02-24,"RT @assetdash: Top 10 Stocks By Market Cap 🏆

1. $AAPL ($2.1T)
2. $AMZN ($1.7T)
3. $MSFT ($1.6T)
4. $GOOGL ($1.1T)
5. $FB ($844B)
6. $BABA…"
2020-02-25,"RT @seeitmarket: NEW Article: “Is Apple’s Stock Worthy of $2 Trillion Market Cap?” - https://t.co/zrPL9ED66r

by @MichaelLebowitz $AAPL $MS…"
2020-02-26,"RT @MinteractApp: Thursday's Top Flow in #technology sector, Buy Flow &amp; Sell Flow $INTU $V $AMAT $WDC $MU $PAYX $ORCL $LSI $CTL $MTAP $AAPL…"
2020-02-27,"RT @MinteractApp: Thursday's Top Flow in #StockMarket, Buy Flow and Sell Flow $XLU $TSLA $JNJ $MCD $UNH $HYG $GDX $XLF $PEP $JNK $AAPL $MSF…"
2020-02-28,"RT @MinteractApp: Thursday's Top Flow in #technology sector, Buy Flow &amp; Sell Flow $INTU $V $AMAT $WDC $MU $PAYX $ORCL $LSI $CTL $MTAP $AAPL…"
