Date,Text
2019-12-31,"RT @manicmondayman: @BRuckerWI Agree,  $nvax has experience and development. If phase 2 results comes out positive by end of oct, stock wil…"
2020-01-02,"@BRuckerWI Agree,  $nvax has experience and development. If phase 2 results comes out positive by end of oct, stock… https://t.co/6IqxXU0Ntb"
2020-01-03,"RT @MinteractApp: Thursday's Top Flow in #healthcare sector, Buy Flow &amp; Sell Flow $JNJ $UNH $ISRG $TMO $ABT $ABBV $SYK $DVA $DGX $BDX $AMGN…"
2020-01-06,"RT @MinteractApp: Thursday's Top Flow in #healthcare sector, Buy Flow &amp; Sell Flow $JNJ $UNH $ISRG $TMO $ABT $ABBV $SYK $DVA $DGX $BDX $AMGN…"
2020-01-07,"RT @MinteractApp: Thursday's Top Flow in #healthcare sector, Buy Flow &amp; Sell Flow $JNJ $UNH $ISRG $TMO $ABT $ABBV $SYK $DVA $DGX $BDX $AMGN…"
2020-01-08,"$PFE Elliott Wave Cycles and Long Term Bullish Trend #PFE #ElliottWave 
https://t.co/Bn2H5ynyX6 https://t.co/7KluThR9St"
2020-01-09,"Thursday's Top Flow in #healthcare sector, Buy Flow &amp; Sell Flow $JNJ $UNH $ISRG $TMO $ABT $ABBV $SYK $DVA $DGX $BDX… https://t.co/HZs4ssHANS"
2020-01-10,$PFE limp dick stock it needs some viragos
2020-01-13,"What's your favorite vaccine stock (and why)? 
Are you investing in any of them?

$MRNA $PFE $AZN $JNJ"
2020-01-14,$gnpx at $3.85. The only stock in the market that could literally jump up 100x over night. Working on cure for lung… https://t.co/iPA9nJvdju
2020-01-15,"Today Top Flow in #healthcare sector, Buy Flow &amp; Sell Flow $ABT $UNH $JNJ $ABBV $ISRG $SYK $LH $BIIB $EW $HUM $AMGN… https://t.co/EH6hcmLL4v"
2020-01-16,AstraZeneca Stock Gets a Boost From Report of U.S. Fast-Tracking @StocksThatGo $AZN AstraZeneca All In Its a $100 S… https://t.co/Gs22v7SpwC
2020-01-17,"@StocksThatGo $AZN AstraZeneca All In Its a $100 Stock 

$PFE $BNTX $MRNA $NVAX $ABBV $ABT"
2020-01-21,"$AZN AstraZeneca All In Its a $100 Stock 

$PFE $BNTX $MRNA $NVAX $ABBV $ABT https://t.co/9z8m15ebx3"
2020-01-22,"$BNTX big bet on #CHINA is unwinding, one of very few #Covid19vaccine developers to sell into China market, $PFE is… https://t.co/zUXAKRRhWZ"
2020-01-23,"S&amp;P Dow Jones Indices $SPX announced the largest changes to the 30-stock benchmark in 7 years. Along with $XOM, whi… https://t.co/4rsXMSRfg9"
2020-01-24,https://t.co/uFuxkWHorn Sports related stock talk and more $NKE $UAA $AMZN $DIS $TWC $AAPL $TSLA $MSFT $KODK $PFE… https://t.co/dDwFlPCWOL
2020-01-27,"Today Top Flow in #healthcare sector, Buy Flow &amp; Sell Flow $ABT $UNH $JNJ $ABBV $SYK $ISRG $EW $BIIB $ZTS $LH $AMGN… https://t.co/nlfD7txSWr"
2020-01-28,$gnpx still my favorite stock. FDA fast track for lung cancer. Expecting FDA fast track announcement for diabetes c… https://t.co/6r5Nk45xFA
2020-01-29,"Time to BUY $BNTX $PFE is NOW! Don't wait for data, stock slide was slow, but will see a very HUGE 15-25% daily jum… https://t.co/mLDmCv7hu6"
2020-01-30,"Aug 27 #stockMarket overview and #stockTrading ideas
👉https://t.co/shqZrUjfGC👈

#Stocks listed: $SPY $MDT $BBY $SJM… https://t.co/Q4wiBCFdAH"
2020-01-31,"$PFE enters a Downtrend as Momentum Indicator dropped below the 0 level on August 26, 2020. View odds for this and… https://t.co/MVQ68NnykJ"
2020-02-03,"RT @dcblue33: Do not miss this gem. This will be huge.
https://t.co/X2HOolYDCW
$BRTXQ $PFE"
2020-02-04,@chriswmayer For the PFE example the share sales were up 7x and dividends up 4x. I don't see how this stock 141x's.… https://t.co/La3iu4Sa1H
2020-02-05,"RT @SurrogateCap: for the $abus newbies
$mrna $bntx $pfe $cvac $gild $jnj $azn $alt $nvax

Aug 7 call, good info
https://t.co/CSGQvvMfdI

M…"
2020-02-06,short ratio of $JNJ is 1.87 at 2019-05-31 https://t.co/K5xRxw7K0d $LLY 2.61 $PFE 2.86 $ABT 2.79 $SYK 2.59
2020-02-07,"RT @MysteryTrader99: 📈 CHART OF THE DAY 📉

$PFE facing major resistance at largest VBP supply zone past 16 months just as it’s getting kick…"
2020-02-10,"Do not miss this gem. This will be huge.
https://t.co/X2HOolYDCW
$BRTXQ $PFE"
2020-02-11,"A Beginner’s Guide to Stock Investing. 

On Amazon. 

Link: https://t.co/Nm3L7G4Zzw 

$NI $NBL $JWN $NSC $NTRS $NOC… https://t.co/e7e6T10Cu5"
2020-02-12,RT @ej23ny: @JIMCRAMER $CLVS current price $5 is tremendously undervalued biotech stock &amp; 3 approved indications vs 1 approved indication @…
2020-02-13,Latest Stock Buy: 10 shares of PFE at $34.8 per share https://t.co/nwce56S0l4 https://t.co/5TjePsegKv
2020-02-14,"@DowJones Boots @pfizer , @RaytheonTech , and @exxonmobil Stock! Are these #stocks a buy? Check out my video and… https://t.co/9sgn6cXx5k"
2020-02-18,@JIMCRAMER $CLVS current price $5 is tremendously undervalued biotech stock &amp; 3 approved indications vs 1 approved… https://t.co/IDdfa4HzRC
2020-02-19,"$CRM $AAPL $TSLA $AMGN $HON  $RTX $XOM $PFE 

Salesforce's 30% stock rally this week is a possible 'nightmare' scen… https://t.co/tX4NhZAoQE"
2020-02-20,$RDY short ratio is 11.69 at 2019-05-31 https://t.co/t8zqM5yE5L $TEVA 1.69 $PFE 2.86
2020-02-21,https://t.co/uFuxkWHorn Sports related stock talk and more $NKE $UAA $AMZN $DIS $TWC $AAPL $TSLA $MSFT $KODK $PFE… https://t.co/SHEz9jyRsD
2020-02-24,"In this video, I examine the idea that ""vaccine stocks are the new weed stocks"".

$AZN $BNTX $CVAC $EBS $GSK $IBIO… https://t.co/a0AHiYGgIg"
2020-02-25,"RT @designyourinves: Exxon Mobil Corporation
NYSE: $XOM

Is still a great stock buy even it wasn't apart of the Dow index.

$GOOG
0.07% 
$G…"
2020-02-26,"Today Top Flow in #healthcare sector, Buy Flow &amp; Sell Flow $MRK $GILD $TMO $MDT $AMGN $LH $LLY $MYL $VAR $CAH $UNH… https://t.co/ZVG62ndDr5"
2020-02-27,"Apple Stock Split Prompts Dow Reshuffle
 August 26, 2020
UNH IBM XOM HD PFE HON CRM AMGN RTX"
2020-02-28,"$PFE's Aroon indicator reaches into Uptrend on August 17, 2020. View odds for this and other indicators:… https://t.co/pnqK6GurwA"
