Date,Text
2019-12-31,"2003 Toyota Landcruiser Prado Grande Auto 4x4

💬 Vehicle Description: https://t.co/Un9Q3BWM6u

# 1 YEAR WARRANTY #… https://t.co/lXBNuP1iVR"
2020-01-02,"2003 Toyota Landcruiser Prado Grande Auto 4x4

💬 Vehicle Description: https://t.co/Un9Q3BWM6u

# 1 YEAR WARRANTY #… https://t.co/F5OKtXs4IR"
2020-01-03,"2017 Toyota Fortuner GXL Auto 4x4 Diesel

💬 Vehicle Description: https://t.co/ZGDVdudS8X

# 1 YEAR WARRANTY # 24 HO… https://t.co/eErNHP8oqV"
2020-01-06,"2017 Toyota Fortuner GXL Auto 4x4 Diesel

💬 Vehicle Description: https://t.co/ZGDVdudS8X

# 1 YEAR WARRANTY # 24 HO… https://t.co/Wd7Pow0Du0"
2020-01-07,"these idiots talk about how much money they save by not having to buy gas

yeah you saved maybe $500 over last 3 ye… https://t.co/04QF6V0aua"
2020-01-08,"@_Shinyodd_ My fav JDM car is the Toyota MR2. This thing could beat a Supra and NSX stock, when modified it could m… https://t.co/UTudZ5zqNJ"
2020-01-09,"Toyota Camry 2014 Model With Sunroof and Reverse Camera clean available for sale price GHS63,000

 prospective buye… https://t.co/jETXStAwdK"
2020-01-10,"Lot of questions about Tesla stock these days.  Couple observations...

Toyota 2019 revenue = $290.2B
Tesla 2019 re… https://t.co/EsTJpcqgHX"
2020-01-13,"JUST ARRIVED!!
2019 Toyota Tacoma 
Stock# 14579
Mileage: 11,323
4x4
Engine3.5 L
Transmission Automatic

(209)421-88… https://t.co/V6ekS2kxmW"
2020-01-14,"It's bank holiday weekend... we almost forgot!

VW, Audi and Toyota pistons are still on sale at a mega discounted… https://t.co/6tnQaumQoi"
2020-01-15,@NorthmanTrader What is a tech stock now? Seems like BMW and Toyota just need to add in an iPad. And they could be a tech stock too.
2020-01-16,In need of reliability? Just in is our 2009 Toyota Corolla! This stylish car is listed at just under $6k! Manual tr… https://t.co/VnDUGSHz0v
2020-01-17,"JUST LAUNCHED
Stock #062327T3
2013 Toyota Tundra SR5
MORE INFO: https://t.co/aLG6FrehO3
4X2 4.6L V-8 cyl
Magnetic G… https://t.co/YWfVNoJfTW"
2020-01-21,RT @SVI_Engineering: Current bullet proof stock: B4 (handgun protected) Toyota Fortuner https://t.co/yqFGL5om0c
2020-01-22,"Another Van arrives in stock.

Latest style Toyota Proace Comfort with super low mileage and a high specification.… https://t.co/8YSEAx9zEU"
