Date,Text
2019-12-31,"RT @HalSparks: “DeJoy still holds at least $30 million in stock in XPO Logistics, a contractor company that processes mail for USPS” - If h…"
2020-01-02,RT @ZevShalev: NEW: Transportation Sec Elaine Chao's brother-in-law's hedge fund Electron Capital bought $26M worth of stock in XPO Logisti…
2020-01-03,RT @ZevShalev: NEW: Transportation Sec Elaine Chao's brother-in-law's hedge fund Electron Capital bought $26M worth of stock in XPO Logisti…
2020-01-06,RT @ZevShalev: NEW: Transportation Sec Elaine Chao's brother-in-law's hedge fund Electron Capital bought $26M worth of stock in XPO Logisti…
2020-01-07,@AynRandPaulRyan @realDonaldTrump Well put! The CEO of our USPS has $30 to $75 million in XPO stock and that is but… https://t.co/5BbDJtWvCw
2020-01-08,"Louis DeJoy, a GOP fundraiser, was appointed be US Postmaster General even with his $30 million invested in, XPO Lo… https://t.co/IB4DBLkRLW"
2020-01-09,"@sprzyslp @chrislhayes He also owns millions of stock in XPO, which is a logistics company and a subcontractor to U… https://t.co/F6jgbB1YLc"
2020-01-10,"RT @HokminC: @GeoffRBennett Louis DeJoy earned millions from company with ties to USPS

He holds at least $25 million in XPO Logistics stoc…"
2020-01-13,"RT @HokminC: @GeoffRBennett Louis DeJoy earned millions from company with ties to USPS

He holds at least $25 million in XPO Logistics stoc…"
2020-01-14,"@GeoffRBennett Louis DeJoy earned millions from company with ties to USPS

He holds at least $25 million in XPO Log… https://t.co/U162Ha1hMW"
2020-01-15,"RT @Ex67T20: @SimonWDC https://t.co/q6dqaOhtMP
Between May and August, the hedge fund managed by McConnell’s brother in law made a $26.8 mi…"
2020-01-16,RT @SenWarren: Postmaster General Louis DeJoy's investments in @USPS competitors were already deeply problematic. But his purchase of @Amaz…
2020-01-17,"RT @Ex67T20: @SimonWDC https://t.co/q6dqaOhtMP
Between May and August, the hedge fund managed by McConnell’s brother in law made a $26.8 mi…"
2020-01-21,"RT @Ex67T20: @SimonWDC https://t.co/q6dqaOhtMP
Between May and August, the hedge fund managed by McConnell’s brother in law made a $26.8 mi…"
2020-01-22,RT @Bloominglately1: @RedTRaccoon @LiteraryMouse DeJoy gave a million dollars to Trump campaign in 2016. DeJoy has at least 30 million in h…
2020-01-23,"RT @MarshallCohen: NEW: Financial disclosures reveal USPS chief Louis DeJoy's business entanglements, which experts say are likely a major…"
2020-01-24,"RT @Ex67T20: @SimonWDC https://t.co/q6dqaOhtMP
Between May and August, the hedge fund managed by McConnell’s brother in law made a $26.8 mi…"
2020-01-27,"RT @Ex67T20: @SimonWDC https://t.co/q6dqaOhtMP
Between May and August, the hedge fund managed by McConnell’s brother in law made a $26.8 mi…"
2020-01-28,"RT @Ex67T20: @SimonWDC https://t.co/q6dqaOhtMP
Between May and August, the hedge fund managed by McConnell’s brother in law made a $26.8 mi…"
2020-01-29,"RT @Ex67T20: @SimonWDC https://t.co/q6dqaOhtMP
Between May and August, the hedge fund managed by McConnell’s brother in law made a $26.8 mi…"
2020-01-30,"RT @Ex67T20: @SimonWDC https://t.co/q6dqaOhtMP
Between May and August, the hedge fund managed by McConnell’s brother in law made a $26.8 mi…"
2020-01-31,"RT @Ex67T20: @SimonWDC https://t.co/q6dqaOhtMP
Between May and August, the hedge fund managed by McConnell’s brother in law made a $26.8 mi…"
2020-02-03,RT @ZevShalev: NEW: Transportation Sec Elaine Chao's brother-in-law's hedge fund Electron Capital bought $26M worth of stock in XPO Logisti…
2020-02-04,"RT @Ex67T20: @SimonWDC https://t.co/q6dqaOhtMP
Between May and August, the hedge fund managed by McConnell’s brother in law made a $26.8 mi…"
2020-02-05,"RT @Ex67T20: @SimonWDC https://t.co/q6dqaOhtMP
Between May and August, the hedge fund managed by McConnell’s brother in law made a $26.8 mi…"
